date,weekday,event_name,event_type,area,expected_crowd,junction_name,police_station,risk_level,baseline_pred,reasoning,recommended_action,lat,lon,source
2026-06-23,Tuesday,Weekend wholesale market surge,festival,KR Market Junction,high,BTP082 - KR Market Junction,City Market,Severe,158.0,Weekend wholesale market surge (festival) near KR Market Junction coincides with a known hotspot at BTP082 - KR Market Junction; wholesale buyers and loading vehicles overrun the market approaches.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.963781571796822,77.57693763021277,offline
2026-06-23,Tuesday,Weekend wholesale market surge,festival,KR Market Junction,high,BTP104 - Medical College Circle,City Market,Severe,21.0,Weekend wholesale market surge (festival) near KR Market Junction coincides with a known hotspot at BTP104 - Medical College Circle; wholesale buyers and loading vehicles overrun the market approaches.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.95924667056928,77.57725535445756,offline
2026-06-24,Wednesday,Mall end-of-season sale launch,sale,Safina Plaza Junction,high,BTP051 - Safina Plaza Junction,Shivajinagar,Severe,289.0,Mall end-of-season sale launch (sale) near Safina Plaza Junction coincides with a known hotspot at BTP051 - Safina Plaza Junction; shopper inflow overflows mall parking onto feeder roads.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.981073141501554,77.61023900969049,offline
2026-06-24,Wednesday,Mall end-of-season sale launch,sale,Safina Plaza Junction,high,BTP082 - KR Market Junction,City Market,Severe,158.0,Mall end-of-season sale launch (sale) near Safina Plaza Junction coincides with a known hotspot at BTP082 - KR Market Junction; shopper inflow overflows mall parking onto feeder roads.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.963781571796822,77.57693763021277,offline
2026-06-25,Thursday,Temple festival procession,festival,Central Street Junction,high,BTP211 - Central Street Junction,Shivajinagar,Severe,100.0,Temple festival procession (festival) near Central Street Junction coincides with a known hotspot at BTP211 - Central Street Junction; procession and devotee parking block the carriageway.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.984032324664431,77.60349685714766,offline
2026-06-25,Thursday,Temple festival procession,festival,Central Street Junction,high,BTP040 - Elite Junction,Upparpet,Severe,110.0,Temple festival procession (festival) near Central Street Junction coincides with a known hotspot at BTP040 - Elite Junction; procession and devotee parking block the carriageway.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.976898897115383,77.57722111467237,offline
2026-06-26,Friday,Weekend cinema / entertainment rush,concert,Sagar Theatre Junction,high,BTP044 - Sagar Theatre Junction,Upparpet,Severe,50.0,Weekend cinema / entertainment rush (concert) near Sagar Theatre Junction coincides with a known hotspot at BTP044 - Sagar Theatre Junction; show-time arrivals spike parking around the venue.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.977026144273596,77.57991941325557,offline
2026-06-27,Saturday,Metro-station feeder overflow,other,Hosahalli Metro Station,medium,BTP020 - Hosahalli Metro Station,Vijayanagara,High,42.0,Metro-station feeder overflow (other) near Hosahalli Metro Station coincides with a known hotspot at BTP020 - Hosahalli Metro Station; last-mile vehicles park on station approaches.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.974399145933017,77.54527605167463,offline
2026-06-27,Saturday,Metro-station feeder overflow,other,Hosahalli Metro Station,medium,BTP048 - Shanthala Junction,Chamarajpet,High,29.0,Metro-station feeder overflow (other) near Hosahalli Metro Station coincides with a known hotspot at BTP048 - Shanthala Junction; last-mile vehicles park on station approaches.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.9772457662868,77.57075034776828,offline
2026-06-28,Sunday,Commercial-street political rally,rally,Elite Junction,high,BTP040 - Elite Junction,Upparpet,Severe,110.0,Commercial-street political rally (rally) near Elite Junction coincides with a known hotspot at BTP040 - Elite Junction; assembly and march occupy road space for hours.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.976898897115383,77.57722111467237,offline
2026-06-28,Sunday,Commercial-street political rally,rally,Elite Junction,high,BTP045 - Danvanthri Road Junction,Upparpet,Severe,24.0,Commercial-street political rally (rally) near Elite Junction coincides with a known hotspot at BTP045 - Danvanthri Road Junction; assembly and march occupy road space for hours.,Pre-position a patrol unit and tow vehicle the evening before; mark no-parking on approaches and brief the morning shift.,12.975495482517482,77.57478270675992,offline
